#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT001261943.1|SAMN26512294|GCA_022517005.1|Salmonella enterica||FDA1182201-C002-001|Pathogen: environmental/food/other	1182201-C002-001	NULL	grains	PAIRED	NULL	NULL	ILLUMINA	SRR18266334	GCA_022517005.1	Contig	510056	4991162	37	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26512294	"CFSAN120918"",""FDA1182201-C002-001"",""FNE1182201-C002-001"",""SRS12214687"	FDA	2022-02-15	environmental/other	32190028	Turkey	NULL	NULL	tahini	NULL	sesame seed paste:FOODON_03304154	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-07	FDA1182201-C002-001	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001261943.1	2022-03-07	28901	ABFIMT	ABFIMT000000000.1	NULL	NULL	"serotype=Adelaide"",""antigen_formula=35:f,g:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	4	iroB,iroC,mchF,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001261944.1|SAMN26512293|GCA_022516965.1|Salmonella enterica||FDA1182201-C002-003|Pathogen: environmental/food/other	1182201-C002-003	NULL	grains	PAIRED	NULL	NULL	ILLUMINA	SRR18266335	GCA_022516965.1	Contig	554271	4934061	34	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26512293	"CFSAN120919"",""FDA1182201-C002-003"",""FNE1182201-C002-003"",""SRS12214688"	FDA	2022-02-15	environmental/other	32189988	Turkey	NULL	NULL	tahini	NULL	sesame seed paste:FOODON_03304154	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-07	FDA1182201-C002-003	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001261944.1	2022-03-07	28901	ABFIMV	ABFIMV000000000.1	NULL	NULL	"serotype=Adelaide"",""antigen_formula=35:f,g:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	4	iroB,iroC,mchF,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001261949.1|SAMN26512289|GCA_022516845.1|Salmonella enterica||FDA1182343-C001-003|Pathogen: environmental/food/other	1182343-C001-003	NULL	multi-ingredient| nuts	PAIRED	NULL	NULL	ILLUMINA	SRR18266299	GCA_022516845.1	Contig	409464	4850510	39	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26512289	"CFSAN120916"",""FDA1182343-C001-003"",""FNE1182343-C001-003"",""SRS12214660"	FDA	2022-02-16	environmental/other	32189868	Lebanon	NULL	NULL	halva pistachio	NULL	dessert food:FOODON_03303220| pistachio nut (whole| raw):FOODON_03301825	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-07	FDA1182343-C001-003	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001261949.1	2022-03-07	28901	ABFIMO	ABFIMO000000000.1	NULL	NULL	"serotype=Liverpool"",""antigen_formula=1,3,19:d:e,n,z15"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001261951.1|SAMN26512288|GCA_022516765.1|Salmonella enterica||FDA1182343-C001-007|Pathogen: environmental/food/other	1182343-C001-007	NULL	multi-ingredient| nuts	PAIRED	NULL	NULL	ILLUMINA	SRR18266303	GCA_022516765.1	Contig	409464	4821136	38	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26512288	"CFSAN120917"",""FDA1182343-C001-007"",""FNE1182343-C001-007"",""SRS12214664"	FDA	2022-02-16	environmental/other	32189788	Lebanon	NULL	NULL	halva pistachio	NULL	dessert food:FOODON_03303220| pistachio nut (whole| raw):FOODON_03301825	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-07	FDA1182343-C001-007	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001261951.1	2022-03-07	28901	ABFIMM	ABFIMM000000000.1	NULL	NULL	"serotype=Liverpool"",""antigen_formula=1,3,19:d:e,n,z15"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001262063.1|SAMN26512292|GCA_022515335.1|Salmonella enterica||FDA1182201-C002-008|Pathogen: environmental/food/other	1182201-C002-008	NULL	grains	PAIRED	NULL	NULL	ILLUMINA	SRR18266314	GCA_022515335.1	Contig	565228	4946920	35	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26512292	"CFSAN120920"",""FDA1182201-C002-008"",""FNE1182201-C002-008"",""SRS12214675"	FDA	2022-02-15	environmental/other	32187678	Turkey	NULL	NULL	tahini	NULL	sesame seed paste:FOODON_03304154	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-08	FDA1182201-C002-008	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001262063.1	2022-03-08	28901	ABFIKL	ABFIKL000000000.1	NULL	NULL	"serotype=Adelaide"",""antigen_formula=35:f,g:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	4	iroB,iroC,mchF,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001263932.1|SAMN26512283|GCA_022582135.1|Salmonella enterica||FDA1182343-C001-001|Pathogen: environmental/food/other	1182343-C001-001	NULL	multi-ingredient| nuts	PAIRED	NULL	NULL	ILLUMINA	SRR18266286	GCA_022582135.1	Contig	400530	4783145	41	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26512283	"CFSAN120915"",""FDA1182343-C001-001"",""FNE1182343-C001-001"",""SRS12214647"	FDA	2022-02-16	environmental/other	32289648	Lebanon	NULL	NULL	halva pistachio	NULL	dessert food:FOODON_03303220| pistachio nut (whole| raw):FOODON_03301825	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-14	FDA1182343-C001-001	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001263932.1	2022-03-14	28901	ABFIZU	ABFIZU000000000.1	NULL	NULL	"serotype=Liverpool"",""antigen_formula=1,3,19:d:e,n,z15"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001268334.1|SAMN26733797|GCA_022660475.1|Salmonella enterica||FDA1182898-C001-003|Pathogen: environmental/food/other	1182898-C001-003	NULL	crustaceans	PAIRED	NULL	NULL	ILLUMINA	SRR18325345	GCA_022660475.1	Contig	390040	4855740	35	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26733797	"CFSAN121083"",""FDA1182898-C001-003"",""FNE1182898-C001-003"",""SRS12266132"	FDA	2022-02-23	environmental/other	32381648	Ecuador	NULL	NULL	frozen shrimp	NULL	shrimp (frozen):FOODON_03301169	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-16	FDA1182898-C001-003	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001268334.1	2022-03-16	28901	ABFMLQ	ABFMLQ000000000.1	NULL	NULL	"serotype=Hadar"",""antigen_formula=8:z10:e,n,x"	0	0	0	0	6	4	NULL	aph(3'')-Ib,aph(6)-Id,mdsA,mdsB,qnrB19,tet(A)	aph(3'')-Ib,aph(6)-Id,qnrB19,tet(A)	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001268338.1|SAMN26733794|GCA_022659875.1|Salmonella enterica||FDA1183329-C001-001|Pathogen: environmental/food/other	1183329-C001-001	NULL	animal feed	PAIRED	NULL	NULL	ILLUMINA	SRR18325349	GCA_022659875.1	Contig	273687	4691329	52	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26733794	"CFSAN121064"",""FDA1183329-C001-001"",""SRS12266136"	FDA	2022-02-28	environmental/other	32381048	Canada	NULL	NULL	canola meal for animal feed	NULL	animal feed:ENVO_02000047| canola meal:FOODON_00002694| food product for animal:FOODON_03309997	NULL	NULL	Salmonella enterica	NULL	Animal feed	28901	CFSAN	2022-03-16	FDA1183329-C001-001	United States Food and Drug Administration|Office of Regulatory Affairs|Arkansas Laboratory	GenomeTrakr	PDT001268338.1	2022-03-16	28901	ABFMKM	ABFMKM000000000.1	NULL	NULL	"serotype=Orion"",""antigen_formula=3,10:y:1,5"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001268346.1|SAMN26733798|GCA_022628435.1|Salmonella enterica||FDA1182898-C001-001|Pathogen: environmental/food/other	1182898-C001-001	NULL	crustaceans	PAIRED	NULL	NULL	ILLUMINA	SRR18325357	GCA_022628435.1	Contig	612959	4919683	33	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26733798	"CFSAN121082"",""FDA1182898-C001-001"",""FNE1182898-C001-001"",""SRS12266144"	FDA	2022-02-23	environmental/other	32347528	Ecuador	NULL	NULL	frozen shrimp	NULL	shrimp (frozen):FOODON_03301169	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-16	FDA1182898-C001-001	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001268346.1	2022-03-16	28901	ABFKZG	ABFKZG000000000.1	NULL	NULL	"serotype=Hadar"",""antigen_formula=8:z10:e,n,x"	0	0	0	0	6	4	NULL	aph(3'')-Ib,aph(6)-Id,mdsA,mdsB,qnrB19,tet(A)	aph(3'')-Ib,aph(6)-Id,qnrB19,tet(A)	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001269792.1|SAMN26658440|GCA_022617415.1|Salmonella enterica||FDA1182164-C001-002|Pathogen: environmental/food/other	1182164-C001-002	NULL	plant	PAIRED	NULL	NULL	ILLUMINA	SRR18314396	GCA_022617415.1	Contig	474004	4900452	33	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26658440	"CFSAN120832"",""FDA1182164-C001-002"",""SRS12257923"	FDA	2022-02-14	environmental/other	32335888	Thailand	NULL	NULL	yanang leaf	NULL	leaf:PO_0025034	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-17	FDA1182164-C001-002	United States Food and Drug Administration|Office of Regulatory Affairs|Pacific Northwest Laboratory	GenomeTrakr	PDT001269792.1	2022-03-17	28901	ABFKNP	ABFKNP000000000.1	NULL	NULL	"serotype=Stanley"",""antigen_formula=4:d:1,2"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001272030.1|SAMN26856495|GCA_022670035.1|Salmonella enterica||FDA1184042-C001-001|Pathogen: environmental/food/other	1184042-C001-001	NULL	multi-ingredient	PAIRED	NULL	NULL	ILLUMINA	SRR18404662	GCA_022670035.1	Contig	457072	4675255	48	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26856495	"CFSAN121076"",""FDA1184042-C001-001"",""SRS12335641"	FDA	2022-03-08	environmental/other	32392048	Canada	NULL	NULL	corn oat barley molasse	NULL	molasses:CHEBI_83163	NULL	NULL	Salmonella enterica	NULL	Animal feed	28901	CFSAN	2022-03-21	FDA1184042-C001-001	United States Food and Drug Administration|Office of Regulatory Affairs|Arkansas Laboratory	GenomeTrakr	PDT001272030.1	2022-03-21	28901	ABFMVQ	ABFMVQ000000000.1	NULL	NULL	"serotype=Urbana"",""antigen_formula=30:b:e,n,x"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	4	cdtB,iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001274297.1|SAMN26876610|GCA_022679985.1|Salmonella enterica||FDA1183787-C001-003|Pathogen: environmental/food/other	1183787-C001-003	NULL	animal feed	PAIRED	NULL	NULL	ILLUMINA	SRR18437200	GCA_022679985.1	Contig	244380	4935862	53	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN26876610	"CFSAN121074"",""FDA1183787-C001-003"",""FNW19D72"",""SRS12347307"	FDA	2022-03-03	environmental/other	32404488	Canada	NULL	NULL	canola meal for animal feed	NULL	animal feed:ENVO_02000047| canola meal:FOODON_00002694| food product for animal:FOODON_03309997	NULL	NULL	Salmonella enterica	NULL	Animal feed	28901	CFSAN	2022-03-22	FDA1183787-C001-003	United States Food and Drug Administration|Office of Regulatory Affairs|Pacific Northwest Laboratory	GenomeTrakr	PDT001274297.1	2022-03-22	28901	ABFNIX	ABFNIX000000000.1	NULL	NULL	"serotype=Infantis"",""antigen_formula=7:r:1,5"	0	0	0	0	3	0	NULL	mdsA,mdsB,mdsB=PARTIAL_END_OF_CONTIG	NULL	4	arsR,asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001276175.1|SAMN27009106|GCA_022950435.1|Salmonella enterica||FDA1184662-C002-001|Pathogen: environmental/food/other	1184662-C002-001	NULL	grains| seeds	PAIRED	NULL	NULL	ILLUMINA	SRR18496138	GCA_022950435.1	Contig	397710	4827328	33	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN27009106	"CFSAN121348"",""FDA1184662-C002-001"",""SRS12394126"	FDA	2022-03-14	environmental/other	32741108	Argentina	NULL	NULL	whole sesame seed	NULL	sesame seed:FOODON_03310306| whole:FOODON_03430131	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-27	FDA1184662-C002-001	United States Food and Drug Administration|Office of Regulatory Affairs|Arkansas Laboratory	GenomeTrakr	PDT001276175.1	2022-03-30	28901	ABFTAE	ABFTAE000000000.1	NULL	NULL	"serotype=Oranienburg"",""antigen_formula=7:m,t:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	4	cdtB,iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001276176.1|SAMN27009104|GCA_022950395.1|Salmonella enterica||FDA1181572-C001-001|Pathogen: environmental/food/other	1181572-C001-001	NULL	melon fruit	PAIRED	NULL	NULL	ILLUMINA	SRR18496139	GCA_022950395.1	Contig	441019	4658572	41	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN27009104	"CFSAN121350"",""FDA1181572-C001-001"",""SRS12394127"	FDA	2022-03-14	environmental/other	32741068	Honduras	NULL	NULL	fresh cut cantaloupe	NULL	cantaloupe:CURATION_0001383| cut:ENVO_00000474| food (fresh):FOODON_00002457	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-27	FDA1181572-C001-001	United States Food and Drug Administration|Office of Regulatory Affairs|Arkansas Laboratory	GenomeTrakr	PDT001276176.1	2022-03-30	28901	ABFTAC	ABFTAC000000000.1	NULL	NULL	"serotype=Montevideo"",""antigen_formula=7:g,m,s:-"	0	0	0	0	3	1	NULL	fosA7=PARTIAL,mdsA,mdsB	fosA7=PARTIAL	4	arsD=HMM,asr=HMM,golS,golT	4	cdtB,iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001276177.1|SAMN27009105|GCA_022950415.1|Salmonella enterica||FDA1181572-C002-001|Pathogen: environmental/food/other	1181572-C002-001	NULL	melon fruit	PAIRED	NULL	NULL	ILLUMINA	SRR18496140	GCA_022950415.1	Contig	323948	4660059	43	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN27009105	"CFSAN121351"",""FDA1181572-C002-001"",""SRS12394128"	FDA	2022-03-14	environmental/other	32741088	Honduras	NULL	NULL	fresh cut cantaloupe	NULL	cantaloupe:CURATION_0001383| cut:ENVO_00000474| food (fresh):FOODON_00002457	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-27	FDA1181572-C002-001	United States Food and Drug Administration|Office of Regulatory Affairs|Arkansas Laboratory	GenomeTrakr	PDT001276177.1	2022-03-30	28901	ABFTAB	ABFTAB000000000.1	NULL	NULL	"serotype=Montevideo"",""antigen_formula=7:g,m,s:-"	0	0	0	0	3	1	NULL	fosA7=PARTIAL,mdsA,mdsB	fosA7=PARTIAL	4	arsD=HMM,asr=HMM,golS,golT	4	cdtB,iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001276178.1|SAMN27009107|GCA_022950375.1|Salmonella enterica||FDA1184662-C002-011|Pathogen: environmental/food/other	1184662-C002-0-11	NULL	grains| seeds	PAIRED	NULL	NULL	ILLUMINA	SRR18496141	GCA_022950375.1	Contig	280411	4763661	41	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN27009107	"CFSAN121349"",""FDA1184662-C002-011"",""SRS12394129"	FDA	2022-03-14	environmental/other	32741048	Argentina	NULL	NULL	whole sesame seed	NULL	sesame seed:FOODON_03310306| whole:FOODON_03430131	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-03-27	FDA1184662-C002-011	United States Food and Drug Administration|Office of Regulatory Affairs|Arkansas Laboratory	GenomeTrakr	PDT001276178.1	2022-03-30	28901	ABFSZY	ABFSZY000000000.1	NULL	NULL	"serotype=I 4,[5],12:i:-"",""antigen_formula=4:i:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001277199.1|SAMN27064480|GCA_022933095.1|Salmonella enterica||FDA1183729-C001-003|Pathogen: environmental/food/other	1183729-C001-003	NULL	multi-ingredient	PAIRED	NULL	NULL	ILLUMINA	SRR18530571	GCA_022933095.1	Contig	197748	4781326	59	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN27064480	"CFSAN121322"",""FDA1183729-C001-003"",""FNE1183729-C001-003"",""SRS12425784"	FDA	2022-03-03	environmental/other	32723658	Canada	NULL	NULL	soyabean meal hull pellets	NULL	meal (ready-to-consume):FOODON_03316468	NULL	NULL	Salmonella enterica	NULL	Animal feed	28901	CFSAN	2022-03-29	FDA1183729-C001-003	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001277199.1	2022-03-31	28901	ABFRXQ	ABFRXQ000000000.1	NULL	NULL	"serotype=Mbandaka"",""antigen_formula=7:z10:e,n,z15"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.21	2021-12-21.1	COMBINED	1
PDT001278993.1|SAMN27177058|GCA_023466915.1|Salmonella enterica||FDA1184052-C001-001|Pathogen: environmental/food/other	1184052-C001-001	NULL	animal feed	PAIRED	NULL	NULL	ILLUMINA	SRR18580059	GCA_023466915.1	Contig	485179	4793360	36	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN27177058	"CFSAN121550"",""FDA1184052-C001-001"",""FNE1184052-C001-001"",""SRS12471609"	FDA	2022-03-08	environmental/other	33375988	Canada	NULL	NULL	fish meal animal feed	NULL	animal feed:ENVO_02000047| fish meal:FOODON_03301620	NULL	NULL	Salmonella enterica	NULL	Animal feed	28901	CFSAN	2022-04-07	FDA1184052-C001-001	United States Food and Drug Administration|Office of Regulatory Affairs|Northeast Food and Feed Laboratory	GenomeTrakr	PDT001278993.1	2022-04-09	28901	ABGGFU	ABGGFU000000000.1	NULL	NULL	"serotype=Tennessee"",""antigen_formula=7:z29:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	4	arsD=HMM,asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.24	2022-04-04.1	COMBINED	1
PDT001292298.1|SAMN27728442|GCA_023089685.1|Salmonella enterica||FDA1186340-C001-001|Pathogen: environmental/food/other	1186340-C001-001	NULL	vegetable row crops (leafy)	PAIRED	NULL	NULL	ILLUMINA	SRR18858545	GCA_023089685.1	Contig	439628	4770874	36	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN27728442	"CFSAN121971"",""FDA1186340-C001-001"",""FNE1186340-C001-001"",""SRS12706743"	FDA	2022-03-30	environmental/other	32891958	Lebanon	NULL	NULL	dried mint	NULL	food (dried):FOODON_03307539| mint food product:FOODON_00002432	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-04-21	FDA1186340-C001-001	NULL	GenomeTrakr	PDT001292298.1	2022-04-21	28901	ABFXFK	ABFXFK000000000.1	NULL	NULL	"serotype=Enteritidis"",""antigen_formula=9:g,m:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	4	iroB,iroC,sinH=PARTIAL,sodC1	3.10.24	2022-04-04.1	COMBINED	1
PDT001294098.1|SAMN27770763|GCA_023114275.1|Salmonella enterica||FDA1185913-C001-003|Pathogen: environmental/food/other	1185913-C001-003	NULL	multi-ingredient| nuts	PAIRED	NULL	NULL	ILLUMINA	SRR18917987	GCA_023114275.1	Contig	235125	4836069	47	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN27770763	"CFSAN122620"",""FDA1185913-C001-003"",""SRS12745209"	FDA	2022-03-28	environmental/other	32954258	Syria	NULL	NULL	halva double pistachio	NULL	dessert food:FOODON_03303220| pistachio nut (whole| raw):FOODON_03301825	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-04-25	FDA1185913-C001-003	NULL	GenomeTrakr	PDT001294098.1	2022-04-25	28901	ABFXWY	ABFXWY000000000.1	NULL	NULL	"serotype=Mbandaka"",""antigen_formula=7:z10:e,n,z15"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	19	arsD=HMM,asr=HMM,golS,golT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	3	iroB,iroC,sinH	3.10.24	2022-04-04.1	COMBINED	1
PDT001294100.1|SAMN27770765|GCA_023114235.1|Salmonella enterica||FDA1185913-C001-001|Pathogen: environmental/food/other	1185913-C001-001	NULL	multi-ingredient| nuts	PAIRED	NULL	NULL	ILLUMINA	SRR18917989	GCA_023114235.1	Contig	264330	4805703	50	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN27770765	"CFSAN122619"",""FDA1185913-C001-001"",""SRS12745211"	FDA	2022-03-28	environmental/other	32954218	Syria	NULL	NULL	halva double pistachio	NULL	dessert food:FOODON_03303220| pistachio nut (whole| raw):FOODON_03301825	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-04-25	FDA1185913-C001-001	NULL	GenomeTrakr	PDT001294100.1	2022-04-25	28901	ABFXWV	ABFXWV000000000.1	NULL	NULL	"serotype=Mbandaka"",""antigen_formula=7:z10:e,n,z15"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	19	arsD=HMM,asr=HMM,golS,golT,pcoA,pcoB,pcoC,pcoD,pcoE,pcoR,pcoS,silA,silB,silC,silE,silF,silP,silR,silS	3	iroB,iroC,sinH	3.10.24	2022-04-04.1	COMBINED	1
PDT001297909.1|SAMN28028324|GCA_023215035.1|Salmonella enterica||FDA1186026-C002-003|Pathogen: environmental/food/other	1186026-C002-003	NULL	multi-ingredient	PAIRED	NULL	NULL	ILLUMINA	SRR19032624	GCA_023215035.1	Contig	316683	4709993	41	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN28028324	"CFSAN122846"",""FDA1186026-C002-003"",""SRS12848926"	FDA	2022-04-08	environmental/other	33077548	Syria	NULL	NULL	halvah	NULL	dessert food:FOODON_03303220	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-05-02	FDA1186026-C002-003	NULL	GenomeTrakr	PDT001297909.1	2022-05-02	28901	ABGAHE	ABGAHE000000000.1	NULL	NULL	"serotype=Amsterdam"",""antigen_formula=3,10:g,m,s:-"	0	0	0	0	3	0	NULL	mdsA,mdsB,mdsB=PARTIAL_END_OF_CONTIG	NULL	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.24	2022-04-04.1	COMBINED	1
PDT001297910.1|SAMN28028312|GCA_023214415.1|Salmonella enterica||FDA1186026-C001-001|Pathogen: environmental/food/other	1186026-C001-001	NULL	multi-ingredient	PAIRED	NULL	NULL	ILLUMINA	SRR19032625	GCA_023214415.1	Contig	398447	4668528	35	SKESA v. 2.2	Pathogen: environmental/food/other	PRJNA186035	Center for Food Safety and Applied Nutrition	SAMN28028312	"CFSAN122845"",""FDA1186026-C001-001"",""SRS12848928"	FDA	2022-04-08	environmental/other	33076968	Syria	NULL	NULL	halvah	NULL	dessert food:FOODON_03303220	NULL	NULL	Salmonella enterica	NULL	Food	28901	CFSAN	2022-05-02	FDA1186026-C001-001	NULL	GenomeTrakr	PDT001297910.1	2022-05-02	28901	ABGAGB	ABGAGB000000000.1	NULL	NULL	"serotype=Amsterdam"",""antigen_formula=3,10:g,m,s:-"	0	0	0	0	2	0	NULL	mdsA,mdsB	NULL	3	asr=HMM,golS,golT	3	iroB,iroC,sinH	3.10.24	2022-04-04.1	COMBINED	1
